,Cluster,Nmembs
0,ASCC_10,402
1,ASCC_101,630
2,ASCC_105,740
3,ASCC_107,300
4,ASCC_108,504
5,ASCC_11,659
6,ASCC_110,273
7,ASCC_111,1180
8,ASCC_113,881
9,ASCC_114,536
10,ASCC_115,281
11,ASCC_12,466
12,ASCC_123,705
13,ASCC_127,955
14,ASCC_128,477
15,ASCC_13,509
16,ASCC_16,1556
17,ASCC_19,1260
18,ASCC_21,1165
19,ASCC_23,564
20,ASCC_29,261
21,ASCC_30,328
22,ASCC_32,757
23,ASCC_41,890
24,ASCC_58,1059
25,ASCC_6,355
26,ASCC_66,146
27,ASCC_67,143
28,ASCC_71,318
29,ASCC_73,488
30,ASCC_77,652
31,ASCC_79,845
32,ASCC_85,596
33,ASCC_87,275
34,ASCC_88,761
35,ASCC_9,198
36,ASCC_90,433
37,ASCC_97,275
38,ASCC_99,698
39,Alessi_1,289
40,Alessi_10,547
41,Alessi_12,1311
42,Alessi_13,737
43,Alessi_19,567
44,Alessi_2,599
45,Alessi_20,837
46,Alessi_21,861
47,Alessi_3,1018
48,Alessi_37,520
49,Alessi_43,24
50,Alessi_5,1366
51,Alessi_6,490
52,Alessi_60,80
53,Alessi_62,549
54,Alessi_8,352
55,Alessi_9,1190
56,Alessi_Teutsch_11,579
57,Alessi_Teutsch_5,186
58,Alessi_Teutsch_8,172
59,Andrews_Lindsay_5,9
60,Antalova_2,187
61,Archinal_1,28
62,Aveni_Hunter_1,659
63,BDSB30,44
64,BDSB91,52
65,BDSB93,61
66,BDSB96,138
67,BH_111,46
68,BH_118,1
69,BH_121,489
70,BH_132,102
71,BH_144,14
72,BH_164,1417
73,BH_19,23
74,BH_200,89
75,BH_202,169
76,BH_205,14
77,BH_211,141
78,BH_217,26
79,BH_221,354
80,BH_23,935
81,BH_37,26
82,BH_54,74
83,BH_55,102
84,BH_56,362
85,BH_66,34
86,BH_72,104
87,BH_73,56
88,BH_85,81
89,BH_87,207
90,BH_90,94
91,BH_92,23
92,BH_99,1291
93,Barkhatova_1,128
94,Basel_1,140
95,Basel_10,37
96,Basel_11a,269
97,Basel_11b,100
98,Basel_17,134
99,Basel_18,139
100,Basel_4,13
101,Basel_8,774
102,Berkeley_1,55
103,Berkeley_10,172
104,Berkeley_101,16
105,Berkeley_102,47
106,Berkeley_103,36
107,Berkeley_104,44
108,Berkeley_11,22
109,Berkeley_12,12
110,Berkeley_13,83
111,Berkeley_14,46
112,Berkeley_14A,431
113,Berkeley_15,46
114,Berkeley_17,79
115,Berkeley_18,75
116,Berkeley_19,14
117,Berkeley_2,26
118,Berkeley_23,28
119,Berkeley_24,39
120,Berkeley_31,13
121,Berkeley_32,131
122,Berkeley_33,20
123,Berkeley_35,38
124,Berkeley_36,54
125,Berkeley_37,56
126,Berkeley_39,132
127,Berkeley_4,56
128,Berkeley_44,63
129,Berkeley_47,12
130,Berkeley_49,22
131,Berkeley_51,12
132,Berkeley_53,122
133,Berkeley_54,40
134,Berkeley_55,19
135,Berkeley_58,143
136,Berkeley_59,382
137,Berkeley_6,63
138,Berkeley_60,65
139,Berkeley_61,22
140,Berkeley_62,176
141,Berkeley_63,35
142,Berkeley_65,20
143,Berkeley_66,17
144,Berkeley_67,120
145,Berkeley_68,226
146,Berkeley_69,23
147,Berkeley_7,102
148,Berkeley_70,60
149,Berkeley_71,11
150,Berkeley_72,26
151,Berkeley_75,22
152,Berkeley_76,67
153,Berkeley_77,20
154,Berkeley_78,44
155,Berkeley_8,136
156,Berkeley_80,24
157,Berkeley_81,42
158,Berkeley_85,57
159,Berkeley_86,102
160,Berkeley_87,200
161,Berkeley_89,62
162,Berkeley_9,100
163,Berkeley_90,90
164,Berkeley_92,17
165,Berkeley_94,63
166,Berkeley_95,30
167,Berkeley_96,64
168,Berkeley_97,96
169,Berkeley_98,145
170,Berkeley_99,75
171,Biurakan_2,249
172,Blanco_1,1769
173,Bochum_11,141
174,Bochum_13,178
175,Bochum_3,18
176,Bochum_4,182
177,COIN-Gaia_1,1
178,COIN-Gaia_14,0
179,COIN-Gaia_19,348
180,COIN-Gaia_24,124
181,COIN-Gaia_29,108
182,COIN-Gaia_3,49
183,COIN-Gaia_37,54
184,COIN-Gaia_5,212
185,Collinder_106,479
186,Collinder_107,668
187,Collinder_110,400
188,Collinder_115,296
189,Collinder_132,773
190,Collinder_135,1712
191,Collinder_140,1187
192,Collinder_185,216
193,Collinder_197,577
194,Collinder_205,138
195,Collinder_220,243
196,Collinder_258,301
197,Collinder_261,232
198,Collinder_268,146
199,Collinder_269,224
200,Collinder_271,63
201,Collinder_272,343
202,Collinder_277,361
203,Collinder_292,209
204,Collinder_307,137
205,Collinder_338,429
206,Collinder_350,785
207,Collinder_359,1292
208,Collinder_394,569
209,Collinder_419,202
210,Collinder_463,687
211,Collinder_469,14
212,Collinder_69,2137
213,Collinder_74,97
214,Collinder_95,498
215,Czernik_1,28
216,Czernik_10,14
217,Czernik_12,77
218,Czernik_13,112
219,Czernik_14,26
220,Czernik_16,68
221,Czernik_18,70
222,Czernik_19,122
223,Czernik_2,175
224,Czernik_20,18
225,Czernik_21,46
226,Czernik_23,50
227,Czernik_24,45
228,Czernik_25,101
229,Czernik_29,196
230,Czernik_30,23
231,Czernik_31,99
232,Czernik_32,45
233,Czernik_37,38
234,Czernik_38,40
235,Czernik_39,28
236,Czernik_40,35
237,Czernik_41,113
238,Czernik_42,19
239,Czernik_44,65
240,Czernik_6,69
241,Czernik_8,20
242,Czernik_9,39
243,DBSB_100,11
244,DBSB_101,66
245,DBSB_104,17
246,DBSB_21,18
247,DBSB_3,29
248,DBSB_43,18
249,DBSB_6,21
